Story World (old),Story World,Sub Story World,Grade,Subject,Unit,Chapter,Topic,Topic_ID,Concept,concept_code,CooboTitles,Experiments,Feature,Ideation,Assigned to,Scriptwriting,MediaFile,Production,LengthofCoboo,test,Stage
2396,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Pregnancy and Embryonic Development,kglm67,Placenta,KG10036,Human Reproduction: Pregnancy and Embryonic Development,,,,,3,3,4,0,4,0
2397,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Pregnancy and Embryonic Development,kglm67,Gastrulation,KG10037,Human Reproduction: Pregnancy and Embryonic Development,,,,,1,4,4,0,10,0
2399,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Pregnancy and Embryonic Development,kglm67,Human Chorionic Gonadotropin,KG10039,Human Reproduction: Pregnancy and Embryonic Development,,,,,2,1,1,2,8,0
2400,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Pregnancy and Embryonic Development,kglm67,Human Placental Lactogen,KG10040,Human Reproduction: Pregnancy and Embryonic Development,,,,,3,2,0,0,9,0
2401,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Pregnancy and Embryonic Development,kglm67,Estrogens,KG10041,Human Reproduction: Pregnancy and Embryonic Development,,,,,1,3,0,0,5,0
2402,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Pregnancy and Embryonic Development,kglm67,Progestogens,KG10042,Human Reproduction: Pregnancy and Embryonic Development,,,,,1,1,1,1,10,0
2403,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Pregnancy and Embryonic Development,kglm67,Relaxin,KG10043,Human Reproduction: Pregnancy and Embryonic Development,,,,,4,3,1,2,8,0
2408,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Pregnancy and Embryonic Development,kglm67,Stem Cells,KG10048,Human Reproduction: Pregnancy and Embryonic Development,,,,,3,0,0,0,7,2
2409,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Pregnancy and Embryonic Development,kglm67,Embryonic Development,KG10049,Human Reproduction: Pregnancy and Embryonic Development,,,,,2,3,4,4,9,2
2410,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Parturition,kglm69,Parturition,KG10050,Human Reproduction: Pregnancy and Embryonic Development,,,,,1,1,1,3,7,2
2411,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Parturition,kglm69,Foetal Ejection Reflex,KG10051,Human Reproduction: Pregnancy and Embryonic Development,,,,,1,1,3,3,6,0
2412,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Parturition,kglm69,Oxytocin,KG10052,Human Reproduction: Pregnancy and Embryonic Development,,,,,1,2,0,0,6,3
2413,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Lactation,kglm71,Lactation,KG10053,Human Reproduction: Pregnancy and Embryonic Development,,,,,4,4,2,2,8,0
2414,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Lactation,kglm71,Colostrum,KG10054,Human Reproduction: Pregnancy and Embryonic Development,,,,,2,1,0,0,9,0
2415,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Origin of Life,kglm75,Evolution,KG10055,Evolution,,,,,1,1,1,1,4,3
2416,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Origin of Life,kglm75,Origin of Life,KG10056,Evolution,,,,,3,3,1,3,8,3
2417,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Origin of Life,kglm75,Origin of Universe,KG10057,Evolution,,,,,2,4,0,0,4,1
2418,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Origin of Life,kglm75,Origin of Solar System,KG10058,Evolution,,,,,1,1,1,1,8,1
2419,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Origin of Life,kglm75,Origin of Earth,KG10059,Evolution,,,,,3,4,1,2,5,1
2420,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Theories of Evolution of Life,kglm77,Theories of Origin of Life,KG10060,Evolution,,,,,3,4,3,4,10,1
2428,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Theories of Evolution of Life,kglm77,Miller's Experiment,KG10068,Evolution,,,,,1,3,3,2,6,1
2429,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Biological Evolution,kglm79,Biological Evolution,KG10069,Evolution,,,,,2,3,4,1,4,3
2433,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,A brief account of Evolution- Geological Time Scale,kglm81,Fossils,KG10073,Evidences of Evolution,,,,,2,3,4,2,8,3
2435,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,A brief account of Evolution- Geological Time Scale,kglm81,Age of Fossils,KG10075,Evidences of Evolution,,,,,1,2,1,2,10,3
2436,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,A brief account of Evolution- Geological Time Scale,kglm81,Radioactive Carbon Method,KG10076,Evidences of Evolution,,,,,4,3,4,0,7,3
2437,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,A brief account of Evolution- Geological Time Scale,kglm81,Geological Time Scale,KG10077,Evidences of Evolution,,,,,3,4,0,0,4,3
2444,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Evidences of Evolution,kglm83,Evidences of Organic Evolution,KG10084,Evidences of Evolution,,,,,1,0,0,0,9,0
2445,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Evidences of Evolution,kglm83,Palaeontological Evidences,KG10085,Evidences of Evolution,,,,,1,1,1,1,9,0
2449,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Evidences of Evolution,kglm83,Evidences from Comparative Anatomy and Morphology,KG10089,Evidences from Comparative Anatomy and Morphology,,,,,1,1,1,1,4,0
2450,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Evidences of Evolution,kglm83,Homologous Organs,KG10090,Evidences from Comparative Anatomy and Morphology,,,,,1,1,1,1,10,0
2451,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Evidences of Evolution,kglm83,Analogous Organs,KG10091,Evidences from Comparative Anatomy and Morphology,,,,,1,1,1,1,4,0
2455,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Evidences of Evolution,kglm83,Evidences from Embryology,KG10095,Evidences from Comparative Anatomy and Morphology,,,,,3,0,0,0,9,0
2460,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Adaptive Radiations,kglm85,Adaptive Radiation,KG10100,Evidences from Comparative Anatomy and Morphology,,,,,3,3,4,2,8,0
2461,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Adaptive Radiations,kglm85,Darwin's Finches of the Galapagos Islands,KG10101,Evidences from Comparative Anatomy and Morphology,,,,,1,1,1,1,5,0
2462,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Adaptive Radiations,kglm85,Adaptive Radiation of Marsupials of Australia,KG10102,Evidences from Comparative Anatomy and Morphology,,,,,4,0,0,0,7,3
2500,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Evolution of Man,kglm91,Pre Human Evolution,KG10140,Evidences from Comparative Anatomy and Morphology,,,,,1,1,3,1,6,2
2467,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Biological Evolution,kglm79,Lamarckism,KG10107,Theories of Evolution,,,,,1,1,1,1,8,0
2469,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Biological Evolution,kglm79,Darwin's Theory of Natural Selection,KG10109,Theories of Evolution,,,,,4,1,4,1,7,0
2473,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Mechanism of Evolution,kglm87,Mechanism of Evolution,KG10113,Theories of Evolution,,,,,1,0,0,0,5,0
2474,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Mechanism of Evolution,kglm87,Hugo De Vries' Mutation Theory,KG10114,Theories of Evolution,,,,,4,2,0,0,6,2
2481,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Hardy Weinberg's Principle,kglm89,Genetic Drift,KG10121,Modern Concept of Evolution,,,,,2,4,4,2,4,0
2487,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Hardy Weinberg's Principle,kglm89,Natural Selection,KG10127,Modern Concept of Evolution,,,,,4,0,0,0,10,0
2488,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Hardy Weinberg's Principle,kglm89,Stabilising Selection,KG10128,Modern Concept of Evolution,,,,,1,2,2,1,6,0
2489,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Hardy Weinberg's Principle,kglm89,Directional Selection,KG10129,Modern Concept of Evolution,,,,,3,1,0,0,5,2
2490,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Hardy Weinberg's Principle,kglm89,Disruptive Selection,KG10130,Modern Concept of Evolution,,,,,3,2,0,0,9,2
2495,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Hardy Weinberg's Principle,kglm89,Speciation,KG10135,Modern Concept of Evolution,,,,,3,2,3,0,6,0
2499,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Hardy Weinberg's Principle,kglm89,Hardy-Weinberg Principle,KG10139,Modern Concept of Evolution,,,,,3,2,2,0,6,0
2501,Life,Genes And Us,12,Biology,Genetics and Evolution,Evolution,Evolution of Man,kglm91,Human Evolution,KG10141,Modern Concept of Evolution,,,,,1,0,0,0,4,0
2514,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes in Household Products,kglm95,Microbes in Human Welfare,KG10154,,,,,,3,1,1,4,9,0
2515,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes in Household Products,kglm95,Microbes in Household Products,KG10155,Microbes in food,,,,,1,1,1,1,6,0
2516,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes in Household Products,kglm95,Curd,KG10156,Microbes in food,,,,,3,3,4,0,7,0
2517,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes in Household Products,kglm95,Lactic Acid Bacteria,KG10157,Microbes in food,,,,,1,0,0,0,10,0
2519,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes in Household Products,kglm95,Cheese,KG10159,Microbes in food,,,,,4,0,0,0,4,0
2523,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes in Industrial Products,kglm97,Microbes in Industrial Products,KG10163,Microbes in Industrial Products,,,,,2,2,0,0,7,4
2524,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes in Industrial Products,kglm97,Fermentors,KG10164,Microbes in Industrial Products,,,,,1,1,1,1,7,4
2526,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes in Industrial Products,kglm97,Antibiotics,KG10166,Microbes in Industrial Products,,,,,1,1,1,3,10,4
2528,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes in Industrial Products,kglm97,Microbes Used in Enzyme Production,KG10168,Microbes in Industrial Products,,,,,2,3,0,0,7,4
2533,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes in Industrial Products,kglm97,Microbes Used in Bioactive Molecules Production,KG10173,Microbes in Industrial Products,,,,,4,1,4,2,7,4
2541,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes in Sewage Treatment,kglm99,Microbes in Sewage Treatment,KG10181,Microbes in Sewage Treatment,,,,,2,2,4,3,5,4
2543,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes in Sewage Treatment,kglm99,Harmful Effects of Sewage,KG10183,Microbes in Sewage Treatment,,,,,1,1,1,1,5,0
2544,Our Beautiful planet,Our Earth,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes in Sewage Treatment,kglm99,Biochemical Oxygen Demand,KG10184,Microbes in Sewage Treatment,,,,,1,3,0,0,6,0
2545,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes in Sewage Treatment,kglm99,Sewage Treatment,KG10185,Microbes in Sewage Treatment,,,,,1,0,0,0,8,0
2546,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes in Sewage Treatment,kglm99,Primary Treatment,KG10186,Microbes in Sewage Treatment,,,,,3,0,0,0,5,0
2547,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes in Sewage Treatment,kglm99,Secondary Treatment,KG10187,Microbes in Sewage Treatment,,,,,2,0,0,0,7,0
2548,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes in Sewage Treatment,kglm99,Ganga Action Plan,KG10188,Microbes in Sewage Treatment,,,,,1,3,0,0,8,0
2549,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes in Sewage Treatment,kglm99,Yamuna Action Plan,KG10189,Microbes in Sewage Treatment,,,,,1,1,2,4,7,3
2557,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes in Sewage Treatment,kglm99,Biological Oxygen Demand,KG10197,Microbes in Sewage Treatment,,,,,1,1,1,1,7,3
2550,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes in Production of Biogas,kglm101,Microbes in Production of Biogas,KG10190,Microbes in Industrial Products,,,,,1,4,3,4,10,3
2551,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes as Biocontrol Agents,kglm103,Microbes as Biopesticides,KG10191,Microbes in Industrial Products,,,,,3,2,1,2,7,3
2552,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes as Biofertilizers,kglm105,Biofertilizers,KG10192,Microbes in Industrial Products,,,,,4,4,3,3,6,3
2555,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes in Industrial Products,kglm97,Fermented Beverages,KG10195,Microbes in Industrial Products,,,,,1,1,1,1,10,3
2558,Jungle safari,Super Bugs,12,Biology,Biology in Human Welfare,Microbes in Human Welfare,Microbes in Production of Biogas,kglm101,Biogas Plant,KG10198,Microbes in Industrial Products,,,,,1,1,3,2,10,3
2560,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Organism and its Environment,kglm109,Organisms and Populations,KG10200,Organisms and Populations,,,,,3,1,0,0,10,3
2561,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Organism and its Environment,kglm109,Organism and its Environment,KG10201,Organisms and Populations,,,,,1,1,1,1,5,4
2562,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Organism and its Environment,kglm109,Habitat,KG10202,Organisms and Populations,,,,,4,1,2,0,7,4
2563,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Organism and its Environment,kglm109,Biome,KG10203,Organisms and Populations,,,,,1,4,2,2,10,4
2564,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Organism and its Environment,kglm109,Niche,KG10204,Organisms and Populations,,,,,4,0,0,0,10,4
2565,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Population,kglm111,Gause's Principle,KG10205,Organisms and Populations,,,,,4,3,3,4,9,2
2566,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Organism and its Environment,kglm109,Abiotic Factors,KG10206,Organisms and Populations,,,,,1,0,0,0,4,2
2567,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Organism and its Environment,kglm109,Responses to Abiotic Factors,KG10207,Organisms and Populations,,,,,4,3,1,1,8,2
2575,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Organism and its Environment,kglm109,Adaptations of Organisms,KG10215,Organisms and Populations,,,,,1,4,2,2,9,2
2598,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Population,kglm111,Population,KG10238,Population,,,,,2,1,4,1,10,2
2601,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Population,kglm111,Characteristics of Population,KG10241,Population,,,,,4,3,0,0,5,2
2607,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Population,kglm111,Population Growth,KG10247,Population,,,,,1,1,1,1,10,2
2608,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Population,kglm111,Population Growth Curve,KG10248,Population,,,,,1,0,0,0,4,2
2609,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Population,kglm111,Biotic Community,KG10249,Population,,,,,4,2,4,0,8,2
2612,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Population,kglm111,Population Interactions,KG10252,Population,,,,,4,1,2,0,8,2
2613,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Population,kglm111,Positive Interactions,KG10253,Interspecific Interactions in Biotic Community,,,,,1,1,1,1,4,2
2614,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Population,kglm111,Scavenging,KG10254,Interspecific Interactions in Biotic Community,,,,,4,3,1,3,5,0
2615,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Population,kglm111,Commensalism,KG10255,Interspecific Interactions in Biotic Community,,,,,2,1,0,0,8,0
2616,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Population,kglm111,Protocooperation,KG10256,Interspecific Interactions in Biotic Community,,,,,1,0,0,0,5,0
2617,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Population,kglm111,Mutualism,KG10257,Interspecific Interactions in Biotic Community,,,,,4,1,3,1,5,0
2618,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Population,kglm111,Negative Interactions,KG10258,Interspecific Interactions in Biotic Community,,,,,1,1,1,1,9,0
2619,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Population,kglm111,Parasitism,KG10259,Interspecific Interactions in Biotic Community,,,,,1,0,0,0,5,0
2620,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Population,kglm111,Predation,KG10260,Interspecific Interactions in Biotic Community,,,,,1,3,2,1,7,0
2621,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Population,kglm111,Competition among Species,KG10261,Interspecific Interactions in Biotic Community,,,,,2,0,0,0,4,0
2622,Our Beautiful planet,Our Earth,12,Biology,Ecology,Organisms and Populations,Population,kglm111,Amensalism,KG10262,Interspecific Interactions in Biotic Community,,,,,4,3,3,1,7,0
2623,Journey of Food,From Field to Table,12,Biology,Biology in Human Welfare,Strategies for Enhancement in Food Production,Animal Husbandry- Animal Farms and Animal Breeding,kglm114,Strategies for Enhancement in Food Production,KG10263,Food Production: Farming,,,,,3,3,3,3,5,1
2624,Journey of Food,From Field to Table,12,Biology,Biology in Human Welfare,Strategies for Enhancement in Food Production,Animal Husbandry- Animal Farms and Animal Breeding,kglm114,Animal Husbandry,KG10264,Food Production: Farming,,,,,1,4,1,3,9,1
2625,Journey of Food,From Field to Table,12,Biology,Biology in Human Welfare,Strategies for Enhancement in Food Production,Animal Husbandry- Animal Farms and Animal Breeding,kglm114,Management of Farm and Farm Animals,KG10265,Food Production: Farming,,,,,2,2,4,0,9,1
2626,Journey of Food,From Field to Table,12,Biology,Biology in Human Welfare,Strategies for Enhancement in Food Production,Animal Husbandry- Animal Farms and Animal Breeding,kglm114,Dairy Farm Management,KG10266,Food Production: Farming,,,,,3,2,2,3,9,1
2627,Journey of Food,From Field to Table,12,Biology,Biology in Human Welfare,Strategies for Enhancement in Food Production,Animal Husbandry- Animal Farms and Animal Breeding,kglm114,Poultry Farm Management,KG10267,Food Production: Farming,,,,,1,1,1,1,5,0
2628,Journey of Food,From Field to Table,12,Biology,Biology in Human Welfare,Strategies for Enhancement in Food Production,Animal Husbandry- Animal Farms and Animal Breeding,kglm114,Animal Breeding,KG10268,Food Production: Farming,,,,,1,1,1,1,5,2
2629,Journey of Food,From Field to Table,12,Biology,Biology in Human Welfare,Strategies for Enhancement in Food Production,Animal Husbandry- Animal Farms and Animal Breeding,kglm114,Inbreeding,KG10269,Food Production: Farming,,,,,4,1,2,0,8,2
2630,Journey of Food,From Field to Table,12,Biology,Biology in Human Welfare,Strategies for Enhancement in Food Production,Animal Husbandry- Animal Farms and Animal Breeding,kglm114,Homozygosity,KG10270,Food Production: Farming,,,,,4,0,0,0,10,2
2631,Journey of Food,From Field to Table,12,Biology,Biology in Human Welfare,Strategies for Enhancement in Food Production,Animal Husbandry- Animal Farms and Animal Breeding,kglm114,Inbreeding Depression,KG10271,Food Production: Farming,,,,,3,0,0,0,8,0
2632,Journey of Food,From Field to Table,12,Biology,Biology in Human Welfare,Strategies for Enhancement in Food Production,Animal Husbandry- Animal Farms and Animal Breeding,kglm114,Outbreeding,KG10272,Food Production: Farming,,,,,1,1,1,1,10,0
2633,Journey of Food,From Field to Table,12,Biology,Biology in Human Welfare,Strategies for Enhancement in Food Production,Animal Husbandry- Animal Farms and Animal Breeding,kglm114,Outcrossing,KG10273,Food Production: Farming,,,,,3,1,0,0,10,1
